Kleborate v3.1.3
strain	species	N50	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes
PCMP_H100_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	9	11
PCMP_H101_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	15
PCMP_H102_contigs_l1000	Klebsiella pneumoniae	185509	ST15-1LV	0	2	5	4
PCMP_H103_contigs_l1000	Klebsiella pneumoniae	209394	ST258	2	3	5	4
PCMP_H104_contigs_l1000	Klebsiella pneumoniae	270412	ST258	0	2	4	3
PCMP_H105_contigs_l1000	Klebsiella pneumoniae	210971	ST258	2	2	7	11
PCMP_H106_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	4	4
PCMP_H107_contigs_l1000	Klebsiella pneumoniae	341492	ST258	0	2	4	3
PCMP_H108_contigs_l1000	Klebsiella pneumoniae	225019	ST258	2	2	7	12
PCMP_H109_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	6	6
PCMP_H10_contigs_l1000	Klebsiella pneumoniae	269367	ST258	2	2	7	11
PCMP_H110_contigs_l1000	Klebsiella pneumoniae	210968	ST258	2	2	8	10
PCMP_H111_contigs_l1000	Klebsiella pneumoniae	328952	ST258	0	2	4	3
PCMP_H112_contigs_l1000	Klebsiella pneumoniae	270452	ST258	3	2	9	10
PCMP_H113_contigs_l1000	Klebsiella pneumoniae	213658	ST258	2	3	9	10
PCMP_H114_contigs_l1000	Klebsiella pneumoniae	207052	ST15	1	2	8	14
PCMP_H115_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	14
PCMP_H116_contigs_l1000	Klebsiella pneumoniae	209760	ST258	2	2	5	5
PCMP_H117_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	12
PCMP_H118_contigs_l1000	Klebsiella pneumoniae	218215	ST258	0	2	9	15
PCMP_H119_contigs_l1000	Klebsiella pneumoniae	214732	ST258	2	2	8	17
PCMP_H11_contigs_l1000	Klebsiella pneumoniae	209776	ST258	2	2	9	15
PCMP_H120_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	4	4
PCMP_H121_contigs_l1000	Klebsiella pneumoniae	225374	ST258	0	2	8	13
PCMP_H122_contigs_l1000	Klebsiella pneumoniae	231093	ST258	0	2	5	5
PCMP_H123_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	9	12
PCMP_H124_contigs_l1000	Klebsiella pneumoniae	234019	ST258	0	2	8	13
PCMP_H125_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	4	3
PCMP_H126_contigs_l1000	Klebsiella pneumoniae	261080	ST307	0	2	4	3
PCMP_H128_contigs_l1000	Klebsiella pneumoniae	338823	ST307	0	2	4	3
PCMP_H129_contigs_l1000	Klebsiella pneumoniae	288208	ST307	3	2	9	12
PCMP_H12_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	8	15
PCMP_H130_contigs_l1000	Klebsiella pneumoniae	209169	ST258	0	2	4	3
PCMP_H131_contigs_l1000	Klebsiella pneumoniae	270193	ST258	0	2	7	7
PCMP_H132_contigs_l1000	Klebsiella pneumoniae	268501	ST258	0	2	8	13
PCMP_H133_contigs_l1000	Klebsiella pneumoniae	321835	ST258	0	2	5	5
PCMP_H134_contigs_l1000	Klebsiella pneumoniae	225025	ST258	0	2	8	14
PCMP_H135_contigs_l1000	Klebsiella pneumoniae	208675	ST258	2	2	9	14
PCMP_H136_contigs_l1000	Klebsiella pneumoniae	237852	ST258	0	2	9	14
PCMP_H137_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H138_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	4	3
PCMP_H13_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	7	6
PCMP_H140_contigs_l1000	Klebsiella pneumoniae	219263	ST258	0	2	7	9
PCMP_H141_contigs_l1000	Klebsiella pneumoniae	260242	ST258	0	2	9	10
PCMP_H142_contigs_l1000	Klebsiella pneumoniae	260242	ST258	0	1	8	10
PCMP_H143_contigs_l1000	Klebsiella pneumoniae	244866	ST258	2	2	8	12
PCMP_H144_contigs_l1000	Klebsiella pneumoniae	248279	ST258	2	2	7	12
PCMP_H145_contigs_l1000	Klebsiella pneumoniae	270467	ST258	0	3	8	10
PCMP_H146_contigs_l1000	Klebsiella pneumoniae	270452	ST258	2	2	4	3
PCMP_H147_contigs_l1000	Klebsiella pneumoniae	215222	ST258	2	2	7	12
PCMP_H148_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	3	2
PCMP_H149_contigs_l1000	Klebsiella pneumoniae	270819	ST258	0	2	8	14
PCMP_H14_contigs_l1000	Klebsiella pneumoniae	218218	ST258	0	2	9	16
PCMP_H150_contigs_l1000	Klebsiella pneumoniae	270453	ST258	0	2	4	3
PCMP_H151_contigs_l1000	Klebsiella pneumoniae	218027	ST258	0	2	7	9
PCMP_H152_contigs_l1000	Klebsiella pneumoniae	260246	ST258	0	2	4	3
PCMP_H153_contigs_l1000	Klebsiella pneumoniae	260246	ST258	0	2	4	3
PCMP_H154_contigs_l1000	Klebsiella pneumoniae	269763	ST258	0	2	5	4
PCMP_H155_contigs_l1000	Klebsiella pneumoniae	270453	ST258	0	2	4	3
PCMP_H156_contigs_l1000	Klebsiella pneumoniae	270452	ST258	2	2	8	9
PCMP_H157_contigs_l1000	Klebsiella pneumoniae	270799	ST258	0	2	3	2
PCMP_H158_contigs_l1000	Klebsiella pneumoniae	270412	ST258	0	2	3	2
PCMP_H159_contigs_l1000	Klebsiella pneumoniae	270498	ST258	0	1	6	9
PCMP_H15_contigs_l1000	Klebsiella pneumoniae	270452	ST258	0	2	8	13
PCMP_H160_contigs_l1000	Klebsiella pneumoniae	225025	ST258	0	2	7	13
PCMP_H161_contigs_l1000	Klebsiella pneumoniae	237759	ST258	0	2	3	2
PCMP_H162_contigs_l1000	Klebsiella pneumoniae	323232	ST258	0	2	3	2
PCMP_H163_contigs_l1000	Klebsiella pneumoniae	237760	ST258	0	2	5	4
